date,geography,geography code,all_public transport,Occupation_Managers/directors/senior officials,Occupation_Professional occupations,Occupation_Associate professional and technical occupations,Occupation_Administrative and secretarial occupations,Occupation_Skilled trades occupations,Occupation_Caring/leisure/other service occupations,Occupation_Sales and customer service occupations,Occupation_Process/plant/machine operatives,Occupation_Elementary occupations,Age_16-24,Age_25-34,Age_35-49,Age_50-64,Age_>=65 ,Index(age under 34),Highest Level of Qualification_No qualifications,Highest Level of Qualification_Level 1,Highest Level of Qualification_Level 2,Highest Level of Qualification_Apprenticeship,Highest Level of Qualification_Level 3,Highest Level of Qualification_Level 4,Highest Level of Qualification_Other qualifications,Index(higher or equal to level 4),distance_<10km,distance_10km-30km,distance_>=30km,distance_Other,Index(distance less than 10km),work hour_Part-time_30 hours or less,work hour_Full-time_31 hours or less,Index(full time),sex_Males,sex_Females,Index(sex of males)
2011,Barnet 001,E02000024,1788,288,557,317,251,70,98,108,20,79,209,448,701,396,34,0.367449664,52,117,190,22,195,1123,89,0.677852349,308,1296,35,149,0.172259508,372,1416,0.791946309,939,849,0.525167785
2011,Barnet 002,E02000025,1487,164,447,237,231,68,106,119,31,84,171,452,543,288,33,0.418964358,82,136,195,11,149,816,98,0.61466039,367,970,27,123,0.246805649,330,1157,0.778076664,741,746,0.498318763
2011,Barnet 003,E02000026,986,103,270,200,151,52,66,66,19,59,124,293,329,211,29,0.422920892,54,91,123,16,119,534,49,0.59127789,214,678,26,68,0.21703854,208,778,0.789046653,515,471,0.522312373
2011,Barnet 004,E02000027,1421,123,312,198,217,90,126,171,38,146,217,336,521,301,46,0.389162562,126,169,218,24,152,621,111,0.51513019,481,789,30,121,0.338494018,432,989,0.69598874,671,750,0.472202674
2011,Barnet 005,E02000028,1142,134,311,217,200,54,62,72,22,70,125,370,402,205,40,0.433450088,43,92,147,16,113,640,91,0.640105079,249,780,16,97,0.218038529,236,906,0.793345009,591,551,0.517513135
2011,Barnet 006,E02000029,1543,150,404,288,259,101,104,96,38,103,165,486,577,287,28,0.421905379,79,159,195,21,174,823,92,0.593000648,407,980,25,131,0.263771873,324,1219,0.790019443,751,792,0.486714193
2011,Barnet 007,E02000030,1126,151,326,204,158,65,64,78,16,64,170,269,382,248,57,0.389875666,60,83,109,9,113,689,63,0.667850799,222,778,16,110,0.197158082,272,854,0.758436945,595,531,0.528419183
2011,Barnet 008,E02000031,1495,193,418,299,217,59,90,100,19,100,167,496,501,285,46,0.443478261,49,113,150,12,152,901,118,0.681605351,316,1002,32,145,0.211371237,315,1180,0.789297659,812,683,0.543143813
2011,Barnet 009,E02000032,1346,169,409,219,215,62,77,91,25,79,144,345,507,308,42,0.363298663,57,103,161,11,138,785,91,0.650817236,267,908,25,146,0.198365527,294,1052,0.781575037,700,646,0.520059435
2011,Barnet 010,E02000033,1637,168,318,299,272,98,124,154,47,157,206,476,599,322,34,0.416615761,79,174,228,28,199,764,165,0.567501527,500,918,25,194,0.305436775,391,1246,0.761148442,805,832,0.491753207
2011,Barnet 011,E02000034,1566,214,395,238,237,93,101,154,22,112,208,480,571,254,53,0.439335888,69,116,177,15,166,877,146,0.653256705,477,906,28,155,0.304597701,411,1155,0.737547893,738,828,0.471264368
2011,Barnet 012,E02000035,1894,245,599,348,238,92,95,128,26,123,191,716,626,297,64,0.478880676,65,96,168,10,177,1185,193,0.727560718,431,1232,31,200,0.227560718,390,1504,0.794086589,963,931,0.50844773
2011,Barnet 013,E02000036,1749,184,416,286,254,122,139,148,38,162,244,546,604,308,47,0.451686678,123,163,195,18,191,887,172,0.605488851,440,1049,37,223,0.251572327,411,1338,0.765008576,901,848,0.515151515
2011,Barnet 014,E02000037,1364,153,385,202,173,68,113,117,31,122,215,374,441,280,54,0.431818182,92,101,139,13,143,758,118,0.642228739,332,843,29,160,0.24340176,347,1017,0.745601173,734,630,0.538123167
2011,Barnet 015,E02000038,2384,265,538,443,362,169,165,192,53,197,335,831,794,359,65,0.48909396,133,190,249,30,266,1292,224,0.63590604,801,1271,30,282,0.335989933,503,1881,0.789010067,1271,1113,0.533137584
2011,Barnet 016,E02000039,1128,164,353,211,135,43,61,63,24,74,145,350,396,193,44,0.438829787,45,70,86,7,93,719,108,0.733156028,233,753,17,125,0.206560284,231,897,0.795212766,626,502,0.554964539
2011,Barnet 017,E02000040,1090,124,270,196,138,63,89,89,30,91,153,370,381,159,27,0.479816514,64,56,118,12,116,617,107,0.664220183,312,674,18,86,0.286238532,255,835,0.766055046,525,565,0.481651376
2011,Barnet 018,E02000041,1662,140,325,219,202,133,155,167,55,266,289,527,510,289,47,0.490974729,127,137,168,18,173,792,247,0.625150421,505,875,28,254,0.303850782,467,1195,0.719013237,866,796,0.521058965
2011,Barnet 019,E02000042,2738,269,774,453,385,184,187,183,57,246,292,1072,931,374,69,0.49817385,126,150,244,16,238,1626,338,0.717311907,780,1566,38,354,0.284879474,557,2181,0.796566837,1406,1332,0.513513514
2011,Barnet 020,E02000043,1711,275,572,346,211,48,80,76,22,81,153,568,678,271,41,0.421390999,40,72,128,9,116,1188,158,0.786674459,364,1156,30,161,0.212741087,325,1386,0.810052601,958,753,0.559906487
2011,Barnet 021,E02000044,1633,132,317,181,214,130,175,172,53,259,245,498,585,270,35,0.454990814,173,158,216,17,166,711,192,0.552969994,542,801,49,241,0.33190447,445,1188,0.727495407,775,858,0.47458665
2011,Barnet 022,E02000045,2415,200,560,405,336,187,227,173,59,268,271,896,848,366,34,0.483229814,152,181,260,25,313,1246,238,0.614492754,1250,870,36,259,0.517598344,591,1824,0.755279503,1144,1271,0.473706004
2011,Barnet 023,E02000046,2168,259,619,422,281,120,125,131,20,191,241,958,669,258,42,0.55304428,64,110,144,21,187,1400,242,0.757380074,721,1145,28,274,0.332564576,420,1748,0.806273063,1075,1093,0.495848708
2011,Barnet 024,E02000047,2412,154,349,224,296,245,287,296,98,463,335,825,834,366,52,0.48092869,284,272,246,25,237,888,460,0.558872305,879,1042,40,451,0.364427861,771,1641,0.680348259,1176,1236,0.487562189
2011,Barnet 025,E02000048,1778,247,522,328,223,88,99,121,32,118,200,657,598,267,56,0.48200225,77,125,126,14,144,1127,165,0.726659168,478,1076,30,194,0.268841395,379,1399,0.786839145,919,859,0.516872891
2011,Barnet 026,E02000049,1576,84,188,148,182,138,230,235,81,290,228,480,585,250,33,0.449238579,161,209,212,15,168,562,249,0.514593909,696,648,34,198,0.441624365,559,1017,0.645304569,697,879,0.442258883
2011,Barnet 027,E02000050,2359,223,603,432,301,174,161,195,48,222,307,841,819,345,47,0.486646884,139,139,217,18,233,1366,247,0.683764307,1064,989,22,284,0.451038576,510,1849,0.783806698,1125,1234,0.47689699
2011,Barnet 028,E02000051,1812,240,527,330,204,83,104,152,27,145,217,680,571,264,80,0.495033113,78,96,104,6,145,1141,242,0.763245033,751,822,38,201,0.414459161,418,1394,0.769315673,921,891,0.508278146
2011,Barnet 029,E02000052,3070,373,944,706,371,127,135,186,27,201,357,1265,1027,362,59,0.528338762,101,151,170,19,252,2108,269,0.774267101,1789,877,59,345,0.582736156,550,2520,0.820846906,1467,1603,0.477850163
2011,Barnet 030,E02000053,2115,180,401,297,236,226,178,249,56,292,342,894,594,256,29,0.584397163,166,158,226,20,187,990,368,0.642080378,659,1042,43,371,0.311583924,589,1526,0.721513002,1100,1015,0.520094563
2011,Barnet 031,E02000054,1523,152,381,208,183,131,122,128,37,181,176,655,435,222,35,0.545633618,61,84,122,8,140,852,256,0.72751149,490,740,30,263,0.321733421,389,1134,0.74458306,734,789,0.481943533
2011,Barnet 032,E02000055,2444,270,515,322,300,194,213,223,37,370,378,1108,626,285,47,0.60801964,133,136,185,19,215,1285,471,0.718494272,941,1053,28,422,0.38502455,657,1787,0.731178396,1250,1194,0.511456628
2011,Barnet 033,E02000056,1603,254,534,366,176,48,66,75,5,79,187,580,531,249,56,0.478477854,30,53,99,8,106,1163,144,0.815346226,1026,420,13,144,0.640049906,301,1302,0.812227074,816,787,0.50904554
2011,Barnet 034,E02000057,1396,134,332,185,167,142,127,102,28,179,186,665,354,143,48,0.609598854,80,76,97,11,119,739,274,0.725644699,583,514,22,277,0.417621777,350,1046,0.749283668,741,655,0.530802292
2011,Barnet 035,E02000058,2236,307,669,408,249,100,136,164,23,180,269,883,644,348,92,0.515205725,79,88,156,7,188,1440,278,0.768336315,1308,646,37,245,0.584973166,512,1724,0.771019678,1104,1132,0.493738819
2011,Barnet 036,E02000059,2280,172,362,216,291,237,241,308,83,370,347,863,684,350,36,0.530701754,194,220,253,20,220,952,421,0.602192982,1079,829,31,341,0.473245614,699,1581,0.693421053,1181,1099,0.517982456
2011,Barnet 037,E02000060,1937,221,478,311,230,150,132,156,31,228,281,920,429,246,61,0.620030976,117,100,127,11,136,1111,335,0.74651523,1129,502,33,273,0.582860093,474,1463,0.755291688,1047,890,0.540526588
2011,Barnet 038,E02000061,2279,314,748,397,225,110,140,129,25,191,299,981,640,297,62,0.561649846,70,67,113,7,161,1583,278,0.816586222,1607,361,35,276,0.705133831,471,1808,0.793330408,1184,1095,0.519526108
2011,Barnet 039,E02000062,1505,108,246,193,181,171,175,151,40,240,230,608,427,205,35,0.556810631,142,135,160,18,146,618,286,0.600664452,972,269,18,246,0.645847176,440,1065,0.707641196,715,790,0.475083056
2011,Barnet 040,E02000063,1661,152,318,226,225,159,124,176,42,239,202,673,500,242,44,0.52679109,121,124,128,10,160,788,330,0.673088501,1120,257,25,259,0.674292595,461,1200,0.722456352,795,866,0.478627333
2011,Barnet 041,E02000064,1550,165,296,234,174,110,170,120,41,240,200,638,474,188,50,0.540645161,134,94,148,10,150,767,247,0.654193548,1114,190,27,219,0.718709677,427,1123,0.724516129,724,826,0.467096774
2011,Bexley 001,E02000065,1670,87,309,200,269,93,192,179,65,276,213,425,746,263,23,0.382035928,107,185,239,27,172,764,176,0.562874251,461,920,73,216,0.276047904,454,1216,0.728143713,768,902,0.45988024
2011,Bexley 002,E02000066,2081,106,263,214,341,183,266,246,80,382,331,535,805,378,32,0.416146084,192,297,355,33,229,777,198,0.468524748,645,1079,99,258,0.309947141,614,1467,0.704949543,1007,1074,0.48390197
2011,Bexley 003,E02000067,1622,126,229,238,342,138,141,156,66,186,242,485,617,246,32,0.448212084,128,290,291,40,216,559,98,0.405055487,462,946,47,167,0.284833539,397,1225,0.755240444,748,874,0.461159063
2011,Bexley 004,E02000068,1372,94,208,184,283,99,129,142,47,186,183,474,486,216,13,0.478862974,93,193,239,30,179,513,125,0.465014577,388,805,45,134,0.282798834,315,1057,0.770408163,660,712,0.481049563
2011,Bexley 005,E02000069,895,71,147,126,208,68,60,84,30,101,139,252,296,197,11,0.436871508,53,129,181,27,129,322,54,0.420111732,236,541,30,88,0.263687151,199,696,0.777653631,426,469,0.475977654
2011,Bexley 006,E02000070,1215,99,173,192,313,111,86,106,30,105,215,300,421,250,29,0.423868313,95,238,237,28,201,358,58,0.342386831,311,756,31,117,0.255967078,268,947,0.779423868,609,606,0.501234568
2011,Bexley 007,E02000071,1065,90,131,137,271,101,73,121,44,97,215,251,376,197,26,0.437558685,87,217,219,34,162,299,47,0.324882629,298,645,30,92,0.279812207,236,829,0.778403756,527,538,0.494835681
2011,Bexley 008,E02000072,1820,99,257,191,336,126,207,239,79,286,278,511,731,270,30,0.433516484,208,312,313,35,222,619,111,0.401098901,583,976,84,177,0.32032967,517,1303,0.715934066,825,995,0.453296703
2011,Bexley 009,E02000073,1714,166,260,270,508,124,85,144,41,116,260,424,644,356,30,0.399066511,118,300,396,52,243,547,58,0.352975496,349,1207,44,114,0.20361727,351,1363,0.795215869,876,838,0.511085181
2011,Bexley 010,E02000074,1050,77,123,108,220,96,89,140,49,148,190,265,360,214,21,0.433333333,129,203,208,33,146,280,51,0.315238095,351,561,44,94,0.334285714,295,755,0.719047619,484,566,0.460952381
2011,Bexley 011,E02000075,1296,98,222,225,377,105,62,88,35,84,233,289,452,298,24,0.402777778,82,253,280,47,216,378,40,0.322530864,235,937,33,91,0.18132716,251,1045,0.80632716,671,625,0.517746914
2011,Bexley 013,E02000077,1401,113,207,211,377,125,94,111,40,123,246,369,474,286,26,0.438972163,119,279,299,37,202,407,58,0.331905782,365,888,27,121,0.260528194,311,1090,0.778015703,661,740,0.471805853
2011,Bexley 014,E02000078,1338,113,200,240,392,107,59,102,32,93,207,388,425,298,20,0.444693572,81,263,310,34,219,396,35,0.322122571,258,988,23,69,0.192825112,249,1089,0.813901345,656,682,0.490284006
2011,Bexley 015,E02000079,1520,133,283,283,408,114,80,103,31,85,242,432,558,253,35,0.443421053,94,232,306,34,228,569,57,0.411842105,280,1090,40,110,0.184210526,278,1242,0.817105263,748,772,0.492105263
2011,Bexley 016,E02000080,1685,136,234,228,495,154,103,144,40,151,326,412,552,358,37,0.437982196,138,309,337,45,286,484,86,0.338278932,486,1036,29,134,0.2884273,368,1317,0.781602374,803,882,0.476557864
2011,Bexley 017,E02000081,1141,105,155,202,307,93,68,94,19,98,195,264,404,255,23,0.402278703,90,213,237,39,201,316,45,0.316389132,258,756,26,101,0.226117441,235,906,0.794040316,597,544,0.523225241
2011,Bexley 018,E02000082,1580,144,226,246,465,141,76,121,46,115,300,408,526,319,27,0.448101266,122,317,344,49,250,449,49,0.315189873,419,998,31,132,0.265189873,317,1263,0.799367089,773,807,0.489240506
2011,Bexley 019,E02000083,1443,154,205,245,369,114,74,127,41,114,218,403,537,267,18,0.43035343,91,248,337,44,247,414,62,0.32986833,346,954,46,97,0.23977824,273,1170,0.810810811,693,750,0.48024948
2011,Bexley 020,E02000084,1717,177,300,329,464,135,65,112,31,104,290,480,560,336,51,0.44845661,116,261,352,55,251,624,58,0.397204426,306,1239,44,128,0.178217822,319,1398,0.814210833,867,850,0.504950495
2011,Bexley 021,E02000085,1201,93,143,194,379,95,73,112,26,86,249,300,373,248,31,0.457119067,113,238,304,33,199,287,27,0.261448793,269,814,18,100,0.223980017,279,922,0.767693589,564,637,0.469608659
2011,Bexley 022,E02000086,1162,127,174,228,331,75,51,90,23,63,199,282,377,272,32,0.41394148,96,232,233,31,184,363,23,0.332185886,253,818,16,75,0.217728055,232,930,0.800344234,592,570,0.509466437
2011,Bexley 023,E02000087,1295,166,270,267,323,73,42,83,25,46,201,307,500,251,36,0.392277992,61,181,263,23,217,529,21,0.424710425,185,977,34,99,0.142857143,214,1081,0.834749035,704,591,0.543629344
2011,Bexley 024,E02000088,1333,132,192,254,387,93,67,94,32,82,250,333,445,278,27,0.43735934,74,227,309,54,227,408,34,0.331582896,243,959,26,105,0.182295574,270,1063,0.797449362,669,664,0.501875469
2011,Bexley 025,E02000089,1331,137,232,258,370,94,59,82,23,76,252,252,503,288,36,0.37866266,84,243,297,35,220,415,37,0.33959429,228,973,20,110,0.171299775,260,1071,0.804658152,691,640,0.519158527
2011,Bexley 026,E02000090,1811,200,327,366,450,115,67,131,28,127,261,543,646,323,38,0.443953617,97,266,344,41,293,707,63,0.425179459,307,1325,40,139,0.169519602,308,1503,0.829928216,923,888,0.50966317
2011,Bexley 027,E02000091,1667,199,340,311,400,99,73,132,23,90,283,438,585,326,35,0.432513497,72,272,306,32,255,682,48,0.437912418,329,1178,41,119,0.197360528,306,1361,0.816436713,857,810,0.514097181
2011,Bexley 028,E02000092,846,66,108,120,201,83,66,101,19,82,153,231,286,156,20,0.453900709,99,158,174,23,111,238,43,0.3321513,278,474,21,73,0.328605201,221,625,0.738770686,387,459,0.457446809
2011,Bexley 029,E02006785,1178,93,172,146,314,115,78,105,34,121,202,301,366,285,24,0.426994907,115,228,242,34,156,345,58,0.342105263,375,667,25,111,0.318336163,261,917,0.778438031,540,638,0.458404075
2011,Brent 001,E02000093,2346,182,419,289,366,307,153,258,80,292,356,868,663,412,47,0.52173913,206,207,253,22,212,1072,374,0.616368286,675,1140,50,481,0.287723785,637,1709,0.728473998,1256,1090,0.535379369
2011,Brent 002,E02000094,1760,109,289,185,247,213,170,223,77,247,293,591,528,310,38,0.502272727,167,194,200,21,212,664,302,0.548863636,659,713,34,354,0.374431818,554,1206,0.685227273,903,857,0.513068182
2011,Brent 003,E02000095,2161,177,394,255,321,245,135,289,76,269,326,813,589,380,53,0.527070801,204,186,224,15,183,1024,325,0.624248033,709,1018,45,389,0.328088848,594,1567,0.725127256,1193,968,0.552059232
2011,Brent 004,E02000096,1553,149,470,233,234,117,64,150,23,113,240,598,417,256,42,0.539600773,84,88,122,5,131,954,169,0.723116549,320,989,30,214,0.206052801,353,1200,0.772698004,861,692,0.554410818
2011,Brent 005,E02000097,1725,110,238,161,281,227,135,222,60,291,298,560,512,316,39,0.497391304,173,176,216,19,168,664,309,0.564057971,726,622,41,336,0.420869565,501,1224,0.709565217,914,811,0.529855072
2011,Brent 006,E02000098,1792,165,397,237,242,184,109,189,44,225,302,654,475,316,45,0.533482143,119,128,162,26,170,878,309,0.662388393,541,866,44,341,0.301897321,461,1331,0.742745536,962,830,0.536830357
2011,Brent 007,E02000099,2190,165,437,278,308,228,164,234,67,309,298,892,623,333,44,0.543378995,172,162,193,18,200,1041,404,0.659817352,657,1059,42,432,0.3,556,1634,0.746118721,1143,1047,0.521917808
2011,Brent 008,E02000100,1549,139,450,241,205,87,76,177,50,124,256,594,389,264,46,0.548741123,61,109,131,10,196,898,144,0.672692059,453,882,32,182,0.29244674,405,1144,0.738540994,765,784,0.493867011
2011,Brent 009,E02000101,1975,147,380,192,269,172,175,242,84,314,280,780,582,301,32,0.536708861,175,190,196,19,179,887,329,0.615696203,863,746,38,328,0.436962025,600,1375,0.696202532,1009,966,0.510886076
2011,Brent 010,E02000102,1492,84,162,124,177,228,158,198,69,292,209,503,485,253,42,0.477211796,208,204,203,14,123,450,290,0.495978552,752,380,26,334,0.504021448,477,1015,0.680294906,736,756,0.493297587
2011,Brent 011,E02000103,1711,112,273,183,219,184,143,214,64,319,282,530,551,293,55,0.474576271,190,167,207,21,174,634,318,0.556399766,1041,346,22,302,0.608416131,543,1168,0.68264173,868,843,0.507305669
2011,Brent 012,E02000104,1470,136,271,194,175,124,105,200,56,209,200,592,405,231,42,0.53877551,121,115,132,12,123,728,239,0.657823129,548,653,27,242,0.372789116,417,1053,0.716326531,760,710,0.517006803
2011,Brent 013,E02000105,2267,186,323,207,262,171,183,358,141,436,294,947,680,312,34,0.547419497,184,196,193,14,208,1033,439,0.649316277,942,928,44,353,0.415527128,778,1489,0.656815174,1216,1051,0.536391707
2011,Brent 014,E02000106,2449,151,297,209,283,366,232,267,123,521,379,921,738,363,48,0.53082891,312,229,267,28,225,836,552,0.566761944,1234,584,40,591,0.503879134,737,1712,0.699060841,1235,1214,0.504287464
2011,Brent 015,E02000107,3538,285,719,448,409,336,311,326,94,610,491,1538,1055,405,49,0.573487846,290,237,275,36,298,1801,601,0.678914641,2415,491,72,560,0.682589033,906,2632,0.74392312,1782,1756,0.503674392
2011,Brent 016,E02000108,1635,105,229,143,211,172,128,233,103,311,246,631,482,245,31,0.536391437,141,142,141,21,161,682,347,0.629357798,676,623,43,293,0.413455657,500,1135,0.694189602,879,756,0.537614679
2011,Brent 017,E02000109,2502,174,502,305,277,245,170,290,123,416,384,1135,630,315,38,0.607114309,172,189,234,21,213,1222,451,0.668665068,1056,1038,52,356,0.42206235,641,1861,0.743804956,1380,1122,0.551558753
2011,Brent 018,E02000110,2569,245,580,454,311,200,180,216,58,325,389,1094,687,353,46,0.577267419,141,162,213,41,247,1397,368,0.687037758,1593,542,40,394,0.620085636,586,1983,0.771895679,1270,1299,0.49435578
2011,Brent 019,E02000111,2438,145,312,203,279,216,215,373,206,489,322,1013,707,348,48,0.547579984,240,217,195,17,184,1040,545,0.650123052,1187,840,70,341,0.486874487,720,1718,0.704675964,1380,1058,0.566037736
2011,Brent 020,E02000112,2628,130,316,220,296,311,228,337,186,604,435,989,746,404,54,0.541856925,258,233,275,18,223,1019,602,0.616818874,1289,805,51,483,0.490487062,788,1840,0.700152207,1478,1150,0.562404871
2011,Brent 021,E02000113,1625,82,150,130,213,138,207,301,91,313,305,443,513,315,49,0.460307692,216,250,211,14,226,476,232,0.435692308,1060,312,37,216,0.652307692,601,1024,0.630153846,746,879,0.459076923
2011,Brent 022,E02000114,3163,245,618,575,359,278,246,246,82,514,454,1519,867,285,38,0.623774897,191,192,250,23,315,1567,625,0.693012962,2124,493,48,498,0.671514385,697,2466,0.779639583,1549,1614,0.489724945
2011,Brent 023,E02000115,3016,270,941,658,340,172,175,200,51,209,333,1472,804,343,64,0.598474801,156,144,176,31,241,1955,313,0.75198939,2245,373,70,328,0.744363395,563,2453,0.813328912,1493,1523,0.495026525
2011,Brent 024,E02000116,2417,127,296,228,251,321,269,268,109,548,299,994,771,314,39,0.534960695,294,191,253,25,233,876,545,0.587918908,1480,422,44,471,0.612329334,758,1659,0.686388084,1202,1215,0.497310716
2011,Brent 025,E02000117,2476,134,239,207,312,282,277,321,119,585,342,735,861,480,58,0.434975767,338,306,347,30,269,689,497,0.478998384,1579,419,62,416,0.637722132,923,1553,0.627221325,1124,1352,0.453957997
2011,Brent 026,E02000118,1971,101,194,166,223,266,192,291,147,391,318,689,589,343,32,0.510908168,272,188,211,24,196,663,417,0.547945205,945,600,40,386,0.479452055,594,1377,0.698630137,1094,877,0.555048199
2011,Brent 027,E02000119,1293,60,183,123,164,94,166,203,51,249,217,384,435,230,27,0.464810518,154,180,157,15,164,468,155,0.481825213,830,263,40,160,0.64191802,434,859,0.664346481,589,704,0.455529776
2011,Brent 028,E02000120,3414,370,888,701,355,217,253,220,70,340,352,1701,950,361,50,0.601347393,187,169,200,28,298,2068,464,0.741652021,2575,342,80,417,0.754247217,650,2764,0.809607499,1602,1812,0.469244288
2011,Brent 029,E02000121,2176,111,239,207,233,244,169,334,152,487,308,910,571,346,41,0.559742647,274,183,186,14,174,868,477,0.618106618,1087,696,58,335,0.499540441,632,1544,0.709558824,1203,973,0.552849265
