date,geography,geography code,all_personal transport,Occupation_Managers/directors/senior officials,Occupation_Professional occupations,Occupation_Associate professional and technical occupations,Occupation_Administrative and secretarial occupations,Occupation_Skilled trades occupations,Occupation_Caring/leisure/other service occupations,Occupation_Sales and customer service occupations,Occupation_Process/plant/machine operatives,Occupation_Elementary occupations,Age_16-24,Age_25-34,Age_35-49,Age_50-64,Age_>=65 ,Index(age under 34),Highest Level of Qualification_No qualifications,Highest Level of Qualification_Level 1,Highest Level of Qualification_Level 2,Highest Level of Qualification_Apprenticeship,Highest Level of Qualification_Level 3,Highest Level of Qualification_Level 4,Highest Level of Qualification_Other qualifications,Index(higher or equal to level 4),distance_<10km,distance_10km-30km,distance_>=30km,distance_Other,Index(distance less than 10km),work hour_Part-time_30 hours or less,work hour_Full-time_31 hours or less,Index(full time),sex_Males,sex_Females,Index(sex of males)
2011,Barnet 029,E02000052,1253,190,414,192,94,122,70,47,62,62,76,362,472,293,50,0.349561053,74,71,107,19,127,753,102,0.68236233,685,279,93,196,0.546687949,316,937,0.747805267,678,575,0.541101357
2011,Barnet 030,E02000053,1226,159,208,138,118,150,85,125,143,100,90,375,444,279,38,0.379282219,140,141,144,21,125,478,177,0.534257749,669,266,48,243,0.545676998,289,937,0.764274062,754,472,0.615008157
2011,Barnet 031,E02000054,1255,197,324,136,142,147,93,62,94,60,79,331,462,320,63,0.326693227,101,92,119,23,127,596,197,0.63187251,719,252,57,227,0.572908367,322,933,0.743426295,739,516,0.588844622
2011,Barnet 032,E02000055,1503,259,437,177,128,163,99,81,92,67,131,438,488,354,92,0.378576181,121,125,144,8,138,760,207,0.643379907,877,326,73,227,0.583499667,395,1108,0.737192282,918,585,0.610778443
2011,Barnet 033,E02000056,1481,461,534,195,96,52,51,39,27,26,66,217,548,515,135,0.191087103,57,69,111,8,136,1009,91,0.742741391,1032,264,66,119,0.696826469,389,1092,0.737339635,880,601,0.594193113
2011,Barnet 034,E02000057,1086,188,365,107,124,79,90,45,43,45,94,363,360,218,51,0.420810313,79,88,111,9,146,525,128,0.601289134,717,178,29,162,0.660220994,366,720,0.662983425,618,468,0.569060773
2011,Barnet 035,E02000058,1387,325,501,175,106,84,60,44,57,35,68,293,489,399,138,0.260273973,88,98,144,11,117,813,116,0.669790916,880,261,73,173,0.63446287,391,996,0.718096611,789,598,0.568853641
2011,Barnet 036,E02000059,1613,174,282,134,158,269,124,133,198,141,127,443,658,353,32,0.353378797,197,186,207,28,175,560,260,0.508369498,901,349,76,287,0.558586485,428,1185,0.734655921,1014,599,0.628642281
2011,Barnet 037,E02000060,1220,244,421,115,128,88,78,53,42,51,93,350,388,297,92,0.363114754,118,120,140,1,139,569,133,0.575409836,817,187,39,177,0.669672131,455,765,0.62704918,742,478,0.608196721
2011,Barnet 038,E02000061,860,198,298,135,61,47,52,22,25,22,52,182,298,237,91,0.272093023,47,52,81,1,67,523,89,0.711627907,560,149,45,106,0.651162791,223,637,0.740697674,523,337,0.608139535
2011,Barnet 039,E02000062,761,83,129,85,65,121,80,32,86,80,54,179,310,199,19,0.306176084,97,80,83,15,74,276,136,0.541392904,434,137,21,169,0.570302234,200,561,0.737187911,461,300,0.605781866
2011,Barnet 040,E02000063,900,149,182,98,77,111,72,56,102,53,42,202,359,257,40,0.271111111,85,83,115,14,71,351,181,0.591111111,538,140,38,184,0.597777778,255,645,0.716666667,556,344,0.617777778
2011,Barnet 041,E02000064,652,107,173,78,54,83,40,26,46,45,39,177,251,145,40,0.331288344,61,46,66,8,75,305,91,0.607361963,400,90,34,128,0.613496933,178,474,0.726993865,407,245,0.624233129
2011,Bexley 001,E02000065,1058,82,232,78,95,126,92,79,156,118,83,186,463,309,17,0.254253308,136,148,165,29,119,384,77,0.435727788,488,347,65,158,0.461247637,248,810,0.765595463,644,414,0.608695652
2011,Bexley 002,E02000066,1310,83,177,113,124,163,165,114,180,191,114,254,518,396,28,0.280916031,200,215,237,35,149,358,116,0.361832061,743,333,72,162,0.567175573,335,975,0.744274809,760,550,0.580152672
2011,Bexley 003,E02000067,1704,155,222,189,201,257,180,142,217,141,154,382,713,416,39,0.314553991,218,305,339,61,221,451,109,0.328638498,972,407,84,241,0.570422535,427,1277,0.749413146,947,757,0.555751174
2011,Bexley 004,E02000068,1269,127,181,117,157,175,132,106,146,128,133,316,488,311,21,0.353821907,142,227,237,49,171,344,99,0.349093775,723,328,53,165,0.569739953,324,945,0.744680851,709,560,0.558707644
2011,Bexley 005,E02000069,1352,146,218,113,165,199,135,102,146,128,120,267,535,379,51,0.286242604,190,217,239,57,185,385,79,0.343195266,806,299,67,180,0.596153846,354,998,0.73816568,740,612,0.547337278
2011,Bexley 006,E02000070,1882,174,269,197,259,291,192,160,184,156,194,278,731,613,66,0.250797024,218,387,377,97,280,432,91,0.277895855,1119,424,91,248,0.594580234,560,1322,0.702444208,977,905,0.519128587
2011,Bexley 007,E02000071,1771,165,213,184,263,286,180,157,180,143,211,327,703,491,39,0.303783173,204,343,337,92,302,399,94,0.2783738,1075,361,90,245,0.607001694,495,1276,0.720496894,909,862,0.513269339
2011,Bexley 008,E02000072,1955,142,242,169,215,280,203,144,281,279,183,422,893,411,46,0.309462916,296,336,373,67,251,482,150,0.323273657,1108,486,108,253,0.566751918,498,1457,0.745268542,1094,861,0.559590793
2011,Bexley 009,E02000073,2525,235,381,258,413,411,247,205,220,155,248,385,1052,768,72,0.250693069,274,518,500,155,381,591,106,0.276039604,1490,580,108,347,0.59009901,758,1767,0.69980198,1307,1218,0.517623762
2011,Bexley 010,E02000074,1659,127,203,170,223,250,179,134,198,175,167,335,648,467,42,0.302591923,272,369,315,59,212,354,78,0.26039783,973,382,95,209,0.58649789,437,1222,0.736588306,862,797,0.519590115
2011,Bexley 011,E02000075,1835,193,296,213,276,290,190,138,124,115,184,228,740,619,64,0.224523161,162,381,338,113,285,480,76,0.302997275,1105,397,85,248,0.602179837,559,1276,0.695367847,945,890,0.514986376
2011,Bexley 013,E02000077,1746,189,211,159,252,308,193,134,172,128,175,299,687,532,53,0.271477663,229,364,323,108,259,374,89,0.265177549,1004,413,86,243,0.575028637,461,1285,0.735967927,938,808,0.53722795
2011,Bexley 014,E02000078,1981,184,311,222,321,346,169,138,150,140,194,367,765,603,52,0.283190308,169,396,447,121,288,481,79,0.282685512,1156,429,116,280,0.583543665,564,1417,0.715295305,1026,955,0.517920242
2011,Bexley 015,E02000079,1528,172,286,200,201,235,145,106,103,80,158,299,588,431,52,0.29908377,156,258,284,76,245,450,59,0.333115183,863,346,92,227,0.564790576,412,1116,0.730366492,812,716,0.531413613
2011,Bexley 016,E02000080,2027,226,281,209,303,356,206,137,167,142,213,332,795,627,60,0.268870252,258,406,379,101,266,505,112,0.304390725,1205,425,118,279,0.594474593,552,1475,0.727676369,1105,922,0.545140602
2011,Bexley 017,E02000081,1621,160,259,167,257,246,157,106,136,133,155,256,648,514,48,0.253547193,199,315,267,87,245,437,71,0.313386798,903,422,70,226,0.557063541,447,1174,0.724244294,845,776,0.521283159
2011,Bexley 018,E02000082,2209,210,321,211,354,375,202,169,193,174,203,391,884,668,63,0.268899955,237,455,438,115,315,551,98,0.293798099,1293,478,111,327,0.58533273,635,1574,0.712539611,1182,1027,0.535083748
2011,Bexley 019,E02000083,2271,193,333,279,288,364,226,163,233,192,224,440,974,574,59,0.29238221,247,473,448,100,328,571,104,0.297225892,1255,593,119,304,0.552619991,601,1670,0.735358873,1220,1051,0.537208278
2011,Bexley 020,E02000084,2589,327,411,328,394,423,229,188,157,132,273,378,978,868,92,0.251448436,269,504,493,136,364,722,101,0.317883353,1503,581,120,385,0.580533024,734,1855,0.716492854,1358,1231,0.524526844
2011,Bexley 021,E02000085,1988,197,256,229,297,392,173,157,150,137,243,412,767,511,55,0.329476861,237,441,410,98,314,410,78,0.245472837,1102,470,110,306,0.554325956,551,1437,0.722837022,1056,932,0.531187123
2011,Bexley 022,E02000086,1900,231,289,233,287,303,164,155,109,129,231,295,767,534,73,0.276842105,201,386,387,91,287,462,86,0.288421053,1163,385,111,241,0.612105263,567,1333,0.701578947,980,920,0.515789474
2011,Bexley 023,E02000087,1651,237,367,200,254,195,123,101,83,91,140,216,651,548,96,0.215626893,139,264,293,80,257,564,54,0.374318595,960,378,101,212,0.581465778,509,1142,0.691701999,853,798,0.516656572
2011,Bexley 024,E02000088,1872,187,296,208,303,299,173,138,123,145,191,299,724,583,75,0.261752137,194,357,371,85,304,485,76,0.299679487,1141,350,84,297,0.609508547,599,1273,0.680021368,936,936,0.5
2011,Bexley 025,E02000089,1747,149,335,216,250,266,182,120,109,120,182,226,731,531,77,0.233543217,177,304,355,94,261,504,52,0.318259874,1080,327,96,244,0.618202633,556,1191,0.681740126,869,878,0.497424156
2011,Bexley 026,E02000090,1559,184,337,208,190,208,146,117,77,92,170,344,553,423,69,0.329698525,129,229,280,67,262,536,56,0.379730597,904,343,103,209,0.579858884,446,1113,0.713919179,796,763,0.510583708
2011,Bexley 027,E02000091,1787,169,392,231,272,254,143,115,107,104,177,283,670,593,64,0.257414661,146,303,307,76,252,630,73,0.393396754,1027,400,103,257,0.574706212,516,1271,0.711247902,923,864,0.516508114
2011,Bexley 028,E02000092,1391,113,227,138,178,192,152,99,168,124,126,286,521,416,42,0.296189792,196,266,255,64,181,369,60,0.308411215,791,336,68,196,0.568655643,383,1008,0.724658519,701,690,0.50395399
2011,Bexley 029,E02006785,1293,127,149,152,187,215,118,106,122,117,137,226,475,414,41,0.280742459,192,265,237,71,173,280,75,0.274555298,806,246,56,185,0.623356535,363,930,0.719257541,735,558,0.568445476
2011,Brent 001,E02000093,1967,259,332,184,246,297,110,230,166,143,140,563,652,558,54,0.357397051,254,251,239,39,194,742,248,0.503304525,1093,448,78,348,0.555668531,470,1497,0.761057448,1181,786,0.600406711
2011,Brent 002,E02000094,1570,175,259,117,169,303,99,137,175,136,96,379,608,422,65,0.302547771,197,224,184,33,145,527,260,0.501273885,892,271,59,348,0.568152866,375,1195,0.761146497,971,599,0.618471338
2011,Brent 003,E02000095,1636,217,310,158,208,218,105,163,132,125,121,407,525,511,72,0.322738386,175,176,176,25,179,663,242,0.553178484,933,380,69,254,0.570293399,424,1212,0.740831296,987,649,0.603300733
2011,Brent 004,E02000096,1478,239,444,153,197,119,87,105,69,65,78,287,460,555,98,0.246955345,110,130,168,29,149,744,148,0.603518268,847,366,62,203,0.573071719,405,1073,0.725981055,813,665,0.550067659
2011,Brent 005,E02000097,1667,194,258,131,224,274,117,159,184,126,100,397,679,438,53,0.298140372,174,220,191,51,213,543,275,0.49070186,1042,276,43,306,0.625074985,427,1240,0.74385123,1013,654,0.607678464
2011,Brent 006,E02000098,1266,199,264,98,162,167,85,81,115,95,69,317,462,360,58,0.304897314,138,138,148,29,133,512,168,0.537124803,770,253,38,205,0.60821485,327,939,0.741706161,736,530,0.58135861
2011,Brent 007,E02000099,1203,148,231,133,141,148,79,101,115,107,86,345,457,282,33,0.358270989,129,124,146,14,127,492,171,0.551122195,697,249,42,215,0.579384871,267,936,0.778054863,766,437,0.63674148
2011,Brent 008,E02000100,1560,277,411,161,209,117,113,103,89,80,91,315,515,568,71,0.26025641,98,155,182,23,147,773,182,0.612179487,937,359,80,184,0.600641026,368,1192,0.764102564,898,662,0.575641026
2011,Brent 009,E02000101,1254,189,260,104,155,151,75,99,117,104,69,344,443,344,54,0.329346093,141,134,154,25,138,504,158,0.527910686,751,246,51,206,0.598883573,349,905,0.72169059,750,504,0.598086124
2011,Brent 010,E02000102,1045,128,137,84,111,188,69,96,146,86,80,290,408,238,29,0.354066986,128,132,141,27,132,315,170,0.464114833,637,170,30,208,0.609569378,247,798,0.763636364,671,374,0.642105263
2011,Brent 011,E02000103,1168,147,187,78,109,208,122,92,122,103,69,272,479,303,45,0.291952055,148,129,132,35,145,388,191,0.495719178,677,197,39,255,0.579623288,283,885,0.757705479,723,445,0.619006849
2011,Brent 012,E02000104,994,143,181,115,105,112,61,92,109,76,76,259,344,274,41,0.337022133,102,120,109,20,96,392,155,0.550301811,570,234,50,140,0.573440644,217,777,0.781690141,650,344,0.653923541
2011,Brent 013,E02000105,1349,188,252,129,156,157,80,114,145,128,76,341,559,330,43,0.309117865,134,146,144,12,132,567,214,0.578947368,819,297,62,171,0.607116383,331,1018,0.754633062,858,491,0.636026686
2011,Brent 014,E02000106,1196,142,166,81,89,216,85,116,188,113,80,340,447,289,40,0.351170569,163,145,138,30,125,392,203,0.497491639,683,199,41,273,0.571070234,324,872,0.72909699,772,424,0.64548495
2011,Brent 015,E02000107,974,148,229,101,59,148,59,53,116,61,50,270,369,257,28,0.328542094,97,97,93,16,110,437,124,0.575975359,566,153,39,216,0.58110883,234,740,0.759753593,653,321,0.670431211
2011,Brent 016,E02000108,943,121,161,84,114,107,60,79,122,95,62,244,379,228,30,0.324496288,88,116,108,13,102,367,149,0.54718982,571,227,38,107,0.605514316,202,741,0.785790032,612,331,0.648992577
2011,Brent 017,E02000109,1324,125,253,102,134,192,81,116,200,121,103,347,489,337,48,0.339879154,178,143,140,32,131,499,201,0.528700906,825,231,65,203,0.623111782,297,1027,0.775679758,847,477,0.639728097
2011,Brent 018,E02000110,848,112,197,107,80,114,52,55,85,46,49,220,287,254,38,0.317216981,87,87,86,22,89,362,115,0.5625,528,118,39,163,0.622641509,211,637,0.751179245,527,321,0.621462264
2011,Brent 019,E02000111,1268,155,208,120,139,117,73,135,152,169,87,327,484,340,30,0.326498423,139,141,162,20,136,464,206,0.528391167,807,259,53,149,0.636435331,278,990,0.780757098,814,454,0.641955836
2011,Brent 020,E02000112,1129,109,171,98,120,145,66,106,148,166,83,286,397,326,37,0.32683791,146,138,147,23,118,383,174,0.493356953,706,215,38,170,0.625332152,244,885,0.783879539,750,379,0.664304694
2011,Brent 021,E02000113,1085,82,128,71,101,140,111,111,211,130,78,239,482,252,34,0.292165899,163,157,147,28,136,291,163,0.41843318,727,182,23,153,0.670046083,296,789,0.72718894,663,422,0.611059908
2011,Brent 022,E02000114,842,113,182,104,68,119,42,52,101,61,55,259,295,206,27,0.372921615,76,83,79,18,96,384,106,0.581947743,515,127,44,156,0.611638955,167,675,0.801662708,539,303,0.640142518
2011,Brent 023,E02000115,683,113,185,106,53,58,41,23,59,45,45,210,239,162,27,0.373352855,45,52,63,14,79,370,60,0.629575403,387,128,42,126,0.566617862,162,521,0.762811127,416,267,0.609077599
2011,Brent 024,E02000116,609,57,89,71,41,108,42,41,96,64,34,208,240,116,11,0.397372742,64,89,75,7,65,217,92,0.507389163,337,106,23,143,0.553366174,132,477,0.783251232,384,225,0.630541872
2011,Brent 025,E02000117,1099,92,132,84,129,153,89,72,227,121,66,294,457,252,30,0.327570519,144,154,153,16,115,347,170,0.470427662,659,188,49,203,0.599636033,286,813,0.739763421,699,400,0.636032757
2011,Brent 026,E02000118,1371,122,173,102,138,181,84,131,241,199,97,351,521,372,30,0.326768782,188,196,157,22,117,415,276,0.50401167,885,250,50,186,0.645514223,281,1090,0.795040117,930,441,0.67833698
2011,Brent 027,E02000119,725,57,121,57,62,79,74,72,129,74,43,185,313,168,16,0.314482759,110,79,102,14,75,246,99,0.475862069,490,107,23,105,0.675862069,213,512,0.706206897,436,289,0.60137931
2011,Brent 028,E02000120,634,88,156,112,35,83,39,20,63,38,35,215,241,121,22,0.394321767,42,51,62,9,58,341,71,0.649842271,348,118,46,122,0.548895899,119,515,0.812302839,364,270,0.574132492
2011,Brent 029,E02000121,1118,137,160,104,113,140,58,100,153,153,76,327,418,273,24,0.360465116,136,120,121,17,111,395,218,0.548300537,711,211,66,130,0.635957066,217,901,0.805903399,744,374,0.665474061
2011,Brent 030,E02000122,869,196,210,137,59,95,43,39,56,34,37,175,358,255,44,0.243958573,78,68,78,20,94,438,93,0.611047181,543,137,35,154,0.624856157,186,683,0.785960875,493,376,0.567318757
2011,Brent 031,E02000123,1202,111,158,134,100,171,105,91,214,118,63,302,562,244,31,0.303660566,161,150,142,18,127,398,206,0.50249584,751,161,53,237,0.624792013,302,900,0.74875208,763,439,0.634775374
